variant,n_masks,n_wells,row_rmse,well_rmse_mean,well_rmse_median,well_rmse_p75,well_rmse_max
grid_s3_b0_h0p17,36,12,5.955345121745234,5.037145601681157,4.21373993867117,6.741823922347672,14.961695959247852
bin_lb_safe,36,12,6.002786434441507,5.097839394908158,4.494834501667886,6.709952582096701,15.257410731754186
oof_prefix_selector,36,12,5.99875687492283,5.107788056189333,4.415853750016785,6.741823922347672,14.961695959247852
grid_s3_b0_h0p2,36,12,6.0188683355995485,5.116241731929393,4.494834501667886,6.709952582096701,15.257410731754186
grid_s3_b0_h0p24,36,12,6.122179606710163,5.231826475636706,4.771691073527883,6.66998690744264,15.667841792274809
grid_s8_b0_h0p2,36,12,6.168606136436565,5.249859075767215,4.514955579530871,7.095549529684906,15.189063378227674
