variant,n_wells,n_rows,row_rmse,well_rmse_mean,well_rmse_median,well_rmse_p75,well_rmse_max
bin_less_aggressive,36,179506,7.843959335036705,6.368006576534651,5.332936080224178,7.779469170408763,18.193716382175918
grid_s3_b0_h0p2,36,179506,7.859614719234305,6.571001238543829,5.568479871444307,7.714346732993366,17.800070994831525
grid_s3_b0_h0p15,36,179506,7.904377370962919,6.500730408116865,5.5288730282170775,7.86625650105343,18.193716382175918
public_selector,36,179506,8.130037901860883,6.81106648042055,6.210323559315318,8.044070915616286,18.409593423738226
