variant,n_masks,n_wells,n_rows,row_rmse,well_rmse_mean,well_rmse_median,well_rmse_p75,well_rmse_max
EGFDL_lgb300_tail_mean,18,6,46946,20.336072862824604,17.376611068981276,15.421174075895223,21.49692015639803,35.16259379401196
EGFDU_lgb300_tail_mean,18,6,46946,20.370238669961104,17.424780053600315,16.304475917837312,22.278312285475955,36.40016999795069
EGFDU_lgb300_tail_median,18,6,46946,20.40713202274273,17.372917276668034,16.420608056241807,22.38490639779269,36.56717607213973
EGFDL_lgb300_tail_median,18,6,46946,20.44638678887577,17.5142582805917,15.533784546595259,21.425945851643696,35.329626616565704
