variant,n_wells,n_rows,row_rmse,well_rmse_mean,well_rmse_median,well_rmse_p75,well_rmse_max
bin_less_aggressive,100,483572,10.368239980795742,7.731882280952238,5.613753910568588,9.83446561825162,53.36644202734929
grid_s3_b0_h0p15,100,483572,10.388880274100043,7.82067493817662,5.723236559034604,9.897619551953788,54.31016946615748
bin_best_v1,100,483572,10.40792014277308,7.753715890913221,5.7688811594041525,9.574208973100777,52.42522686226158
bin_lb_safe,100,483572,10.42074269262937,7.832932091138144,5.751197616550101,9.944412767283982,55.25628045672804
grid_s3_b0_h0p2,100,483572,10.426833170037925,7.899867332447967,5.873986326701724,9.59106972297515,55.25628045672804
public_selector,100,483572,10.542065119009258,8.07116391616642,6.4067819733833655,9.85009886442306,55.141824188397294
