variant,n_wells,n_rows,row_rmse,well_rmse_mean,well_rmse_median,well_rmse_p75,well_rmse_max
grid_s3_b0_h0p2,36,179506,7.133877935974766,6.097777925063591,5.27907529071623,8.007527626785102,17.620435573573648
grid_s3_b0_h0p15,36,179506,7.1428719016147,6.003493619853749,4.968079958274127,8.080519098711239,18.274411068183944
grid_s3_b0p05_h0p15,36,179506,7.1580400163750255,6.0977248129870905,5.15789483147133,8.06477098212023,17.82943003976653
grid_s3_b0p05_h0p1,36,179506,7.180266295283073,6.019534586942746,4.978993714963771,8.145668286356862,18.458853489841445
grid_s3_b0p1_h0p1,36,179506,7.192826086010854,6.1173426837078635,5.135098716514396,8.138103187622708,17.987138748026496
grid_s3_b0_h0p25,36,179506,7.199713207649395,6.246931534087318,5.391021128459661,8.054325874618492,16.971353923816366
grid_s3_b0p05_h0p2,36,179506,7.2035766854362535,6.227147566646342,5.411376172814062,8.027824699236149,17.204372577415505
grid_s3_b0p1_h0p05,36,179506,7.221043649348992,6.051061916060059,4.981473296249897,8.179204077899183,18.591577779434918
grid_s3_b0p1_h0p15,36,179506,7.225546037138658,6.2313113908668525,5.455467457993999,7.997360303360929,17.386617791984825
grid_s3_b0_h0p1,36,179506,7.226415713537879,5.97266099816753,5.112699939248455,8.272455176098422,18.932773285148826
grid_s5_b0_h0p2,36,179506,7.240356975270414,6.166107033114496,5.343963181335572,7.779245059731267,17.62541702903271
grid_s5_b0_h0p15,36,179506,7.241175048551502,6.0576952841033505,4.955451466161593,8.052374922890694,18.27964272775042
public_selector,36,179506,7.255148034267976,6.252282259218504,5.447919585401474,8.012438564849479,17.290235197173843
grid_s5_b0p05_h0p15,36,179506,7.263197285067808,6.163922882100474,5.210647855128661,7.835652414588283,17.834436902959208
grid_s3_b0p05_h0p05,36,179506,7.269634010623904,6.000607529231155,5.0416672877803625,8.338884638091429,19.09221112475248
grid_s5_b0p05_h0p1,36,179506,7.277310608572275,6.072151107812768,4.997732070346617,8.09352452808573,18.46409659341088
grid_s3_b0p2_h0,36,179506,7.2934156726205,6.217105404237461,5.442396478170595,8.027945036716247,18.14802141432612
grid_s5_b0p1_h0p1,36,179506,7.29725194955784,6.1827012768968395,5.186559104736457,7.900794573926156,17.992144301724025
grid_s3_b0p1_h0,36,179506,7.309493031765128,6.039278993153718,5.009776388199318,8.399016302945547,19.19956484425002
grid_s5_b0_h0p25,36,179506,7.311498881671832,6.3279927503107976,5.72270430662102,7.9029428356741676,17.52002314332025
grid_s5_b0_h0p1,36,179506,7.313928955078835,6.012299184921229,5.035606212236187,8.226392193825347,18.93825116076076
grid_s5_b0p05_h0p2,36,179506,7.314298839070528,6.305826465594759,5.786774434614289,7.869257141140199,17.4361564263643
grid_s3_b0p05_h0p25,36,179506,7.315611022463113,6.401329542793544,5.365878947789058,8.117102383406264,16.720965043038316
grid_s5_b0p1_h0p05,36,179506,7.317703402948194,6.103482673870374,5.039809950272873,8.064301320547242,18.596806043992288
grid_s3_b0p1_h0p2,36,179506,7.318386207316162,6.386986529494711,5.356795961342616,7.982982896272292,16.790435314193434
grid_s3_b0p2_h0p05,36,179506,7.318540011611101,6.309561670071812,5.474640707635974,7.90590934214445,17.59778024991751
grid_s5_b0p1_h0p15,36,179506,7.33548107849661,6.30867964507966,5.853483726849166,7.8376272871951045,17.39139717503808
grid_s5_b0p05_h0p05,36,179506,7.35626346610139,6.039306365284109,4.98358277156615,8.275411386059597,19.097686922380728
grid_s3_b0_h0p05,36,179506,7.381978704342177,6.0193592242955205,5.0663853552977125,8.44167934131113,19.595080069654998
grid_s3_b0p2_h0p1,36,179506,7.391477676809372,6.437865255402536,5.470079752364414,7.900352152311382,17.051055614528245
grid_s5_b0p1_h0,36,179506,7.396348686180323,6.078402135233662,4.922635909556842,8.291689530912734,19.205012655327234
grid_s5_b0p2_h0,36,179506,7.398177005597123,6.284744178140405,5.4686046563603234,7.8396360515907695,18.15294467095684
grid_s3_b0p05_h0,36,179506,7.423718785605305,6.052685895112537,5.098578063926025,8.468594167263984,19.729124054578133
grid_s5_b0p2_h0p05,36,179506,7.427958977617569,6.387794034741102,5.913969967322618,7.762359134927044,17.60250406198219
grid_s5_b0p05_h0p25,36,179506,7.4292696686738156,6.490575494177096,5.741054702478888,8.175424163216578,17.658819817835603
grid_s5_b0p1_h0p2,36,179506,7.431485249025555,6.474742463164367,5.804761854746425,7.913714998282817,17.58366817431314
