candidate,n_rows,n_wells,row_rmse,well_rmse_mean,well_rmse_max,known_frac,well_limit,selector_meta
blend_pf70,31277,12,6.1917769399069655,5.093505491383688,14.143677487860648,0.6,12,"{""gap_hi_well"": ""3a824aa7"", ""gap_hi_mean_abs_gap"": 7.441145520993442}"
blend_pf75,31277,12,6.244041670655228,5.113350405256656,14.279102892041498,0.6,12,"{""gap_hi_well"": ""3a824aa7"", ""gap_hi_mean_abs_gap"": 7.441145520993442}"
blend_pf78,31277,12,6.27306400102207,5.128988397745258,14.346958075188972,0.6,12,"{""gap_hi_well"": ""3a824aa7"", ""gap_hi_mean_abs_gap"": 7.441145520993442}"
blend_pf80,31277,12,6.303978084026076,5.148710059892631,14.41490645780025,0.6,12,"{""gap_hi_well"": ""3a824aa7"", ""gap_hi_mean_abs_gap"": 7.441145520993442}"
selector_gap_hi_75,31277,12,6.304361956675565,5.149931316622497,14.41490645780025,0.6,12,"{""gap_hi_well"": ""3a824aa7"", ""gap_hi_mean_abs_gap"": 7.441145520993442}"
blend_pf82,31277,12,6.33675623278698,5.172638334039263,14.482946728108358,0.6,12,"{""gap_hi_well"": ""3a824aa7"", ""gap_hi_mean_abs_gap"": 7.441145520993442}"
blend_pf85,31277,12,6.371369677751396,5.200813102826248,14.551077597123063,0.6,12,"{""gap_hi_well"": ""3a824aa7"", ""gap_hi_mean_abs_gap"": 7.441145520993442}"
blend_pf90,31277,12,6.445982628346567,5.269606495406022,14.687606086513515,0.6,12,"{""gap_hi_well"": ""3a824aa7"", ""gap_hi_mean_abs_gap"": 7.441145520993442}"
pf,31277,12,6.615871730675996,5.45065893033263,14.961695959247853,0.6,12,"{""gap_hi_well"": ""3a824aa7"", ""gap_hi_mean_abs_gap"": 7.441145520993442}"
blend_pf100,31277,12,6.615871730675996,5.45065893033263,14.961695959247853,0.6,12,"{""gap_hi_well"": ""3a824aa7"", ""gap_hi_mean_abs_gap"": 7.441145520993442}"
artifact,31277,12,6.3215692215040065,5.573390322652906,12.29436535104717,0.6,12,"{""gap_hi_well"": ""3a824aa7"", ""gap_hi_mean_abs_gap"": 7.441145520993442}"
