variant,n_masks,n_wells,n_rows,row_rmse,well_rmse_mean,well_rmse_median,well_rmse_p75,well_rmse_max
contact_physics,36,12,93832,0.00541444476251546,0.005419560530883988,0.005375793800618216,0.0055039798967788,0.005898206404065173
grid_s3_b0_h0p17,36,12,93832,6.319362147623385,5.331087438853185,4.391775308964892,6.745561225425627,15.050868960161608
grid_s5_b0_h0p17,36,12,93832,6.324964004590063,5.3412940425688324,4.501325648780169,6.963196782169794,14.989326874958495
bin_lb_safe,36,12,93832,6.3580712786902325,5.38493418968388,4.482845764128776,6.702988688864012,15.340357305464039
grid_s3_b0_h0p2,36,12,93832,6.369967690603438,5.39979312498461,4.482845764128776,6.702988688864012,15.340357305464039
grid_s8_b0_h0p2,36,12,93832,6.378061880763165,5.421209396730344,4.698930265701332,6.960701755842394,15.069137753915816
public_selector,36,12,93832,6.40806161075855,5.441158802484166,4.640502206857901,6.911861000574167,15.281129017589077
anchor,36,12,93832,10.651441346058679,8.596757652425525,6.985441338218041,11.809397655323457,25.603023473912348
