variant,n_wells,n_rows,row_rmse,well_rmse_mean,well_rmse_median,well_rmse_p75,well_rmse_max
grid_s3_b0_h0p2,36,179506,7.859614719234305,6.571001238543829,5.568479871444307,7.714346732993366,17.800070994831525
grid_s3_b0_h0p22,36,179506,7.8605392463606485,6.61486954839911,5.705772628436573,7.979558735710658,17.64304981727583
grid_s3_b0_h0p18,36,179506,7.8694728863026215,6.535824558724999,5.62167873172209,7.73386846693448,17.95734515473558
grid_s3_b0_h0p24,36,179506,7.872242668678867,6.666800968069662,6.020706372520218,7.955171146162803,17.486288437167943
grid_s3_b0_h0p16,36,179506,7.890073330706318,6.5099665548344365,5.598311807333742,7.858462253902745,18.114865707774463
grid_s3_b0_h0p26,36,179506,7.894677048985704,6.726175672084817,6.22817795955845,7.905135862764473,17.329793904713284
