well_id,pf_weight,artifact_weight,n_rows,start,end,net,min,max,range,std,mean_step,std_step,min_step,max_step
000d7d20,0.9,0.09999999999999998,3836.0,11747.401200256718,11740.266314755883,-7.134885500834571,11737.929027390359,11750.089398018838,12.160370628478631,4.691893827994795,-0.001860465580400149,0.021819760878875535,-0.222799786764881,0.14566423707219656
000d7d20,0.85,0.15000000000000002,3836.0,11747.391658402175,11740.210026609722,-7.181631792453118,11737.866863397554,11750.097677469179,12.230814071624991,4.673633536396957,-0.0018726549654375796,0.022564604025067856,-0.25733469444276125,0.1954637933504273
000d7d20,0.825,0.17500000000000004,3836.0,11747.386887474906,11740.181882536643,-7.205004938263301,11737.833659963348,11750.10181719435,12.268157231002988,4.665076079482506,-0.001878749657956532,0.023121735403688268,-0.27460214828352036,0.2203635714831762
000d7d20,0.8,0.19999999999999996,3836.0,11747.382116547637,11740.153738463563,-7.2283780840734835,11737.800315059154,11750.105956919524,12.305641860370088,4.656903252765306,-0.0018848443504754847,0.023791111929928697,-0.2918696021242795,0.24526334962138208
000d7d20,0.79,0.20999999999999996,3836.0,11747.380208176728,11740.14248083433,-7.237727342397193,11737.78697709748,11750.107612809592,12.320635712112562,4.653742275661512,-0.0018872822274829707,0.024088247937958603,-0.29877658366058313,0.25522326087411784
000d7d20,0.75,0.25,3836.0,11747.372574693098,11740.097450317402,-7.275124375695668,11737.73362525077,11750.114236369864,12.380611119093373,4.6417195210849025,-0.001897033735513864,0.02542968582138107,-0.32640450980215974,0.29506290589597484
000d7d20,0.7,0.30000000000000004,3836.0,11747.363032838557,11740.041162171243,-7.321870667314215,11737.666935442387,11750.122515820207,12.455580377820297,4.628097563032591,-0.0019092231205512947,0.027406515596553837,-0.360939417481859,0.3448624621669296
00bbac68,0.9,0.09999999999999998,6014.0,12223.77653235644,12210.506478066525,-13.270054289914697,12202.979780847967,12237.798745921415,34.81896507344754,10.7229880289906,-0.002206894111078446,0.05662086773469638,-0.6057575482718676,0.9303531836867478
00bbac68,0.85,0.15000000000000002,6014.0,12223.779915281084,12210.785719736443,-12.994195544641116,12203.475707085581,12237.600280696613,34.12457361103225,10.681725465524238,-0.0021610170538235683,0.05580129982677182,-0.5750731011448806,0.8839026595942414
00bbac68,0.825,0.17500000000000004,6014.0,12223.781606743403,12210.925340571399,-12.856266172004325,12203.584152076026,12237.501048084214,33.916896008187905,10.661913784074926,-0.002138078525196129,0.055682605949774235,-0.5597308775813872,0.8606773975461692
00bbac68,0.8,0.19999999999999996,6014.0,12223.783298205724,12211.064961406357,-12.718336799367535,12203.624805390153,12237.401815471814,33.7770100816615,10.642652599442735,-0.0021151399965686902,0.055760299890823324,-0.5443886540197127,0.837452135501735
00bbac68,0.79,0.20999999999999996,6014.0,12223.783974790655,12211.12080974034,-12.663165050315001,12203.640494072777,12237.362122426854,33.72162835407653,10.63510293755646,-0.002105964585118078,0.05584625206846421,-0.5661703734294861,0.8281620306806872
00bbac68,0.75,0.25,6014.0,12223.786681130368,12211.34420307627,-12.442478054097592,12203.52643672486,12237.203542798035,33.67710607317531,10.605793632004413,-0.0020692629393144176,0.05649956289833408,-0.6640845317378989,0.7910016114055907
00bbac68,0.7,0.30000000000000004,6014.0,12223.790064055009,12211.623444746187,-12.166619308822192,12203.37152204037,12237.008391194833,33.63686915446306,10.57117172112664,-0.002023385882059237,0.05798925550236744,-0.786477229621596,0.7445510873130843
00e12e8b,0.9,0.09999999999999998,4301.0,11604.531238565447,11623.717110652753,19.185872087306052,11603.629807650437,11629.598716475273,25.968908824836035,6.469539641754479,0.004461830717978152,0.05831269917137146,-0.40363717761283624,0.7470662121413625
00e12e8b,0.85,0.15000000000000002,4301.0,11604.53604058959,11622.0315814151,17.495540825510034,11603.712483787915,11627.972433094705,24.259949306790077,5.838614291537318,0.0040687304245372174,0.0565992505852247,-0.3819139316328801,0.6998210406309227
00e12e8b,0.825,0.17500000000000004,4301.0,11604.53844160166,11621.188816796275,16.650375194614753,11603.753821856651,11627.159291404418,23.405469547766188,5.525928283091454,0.0038721802778173844,0.05600135891923086,-0.37105230864472105,0.6761984548775217
00e12e8b,0.8,0.19999999999999996,4301.0,11604.540842613733,11620.346052177447,15.805209563714016,11603.793665760859,11626.346149714132,22.552483953273622,5.215537978742874,0.0036756301310962827,0.055583982975316915,-0.360190685654743,0.6525758691241208
00e12e8b,0.79,0.20999999999999996,4301.0,11604.541803018561,11620.008946329917,15.467143311356267,11603.809069548224,11626.020893038018,22.21182348979346,5.09211879548905,0.003597010072408434,0.05546854900257565,-0.35584603645838797,0.6431268348242156
00e12e8b,0.75,0.25,4301.0,11604.545644637874,11618.660522939794,14.114878301919816,11603.87068469768,11624.719866333562,20.849181635881905,4.603498871872215,0.0032825298376557713,0.05530536026850603,-0.3406029736488563,0.6053306976155
00e12e8b,0.7,0.30000000000000004,4301.0,11604.550446662015,11616.97499370214,12.424547040125617,11603.947703634502,11623.093582952992,19.145879318490188,4.007557012969697,0.00288942954421526,0.05577442334876226,-0.32361152540579496,0.5580855261086981
