candidate,n_rows,n_wells,row_rmse,well_rmse_mean,well_rmse_max,known_frac,well_limit,selector_meta
blend_pf82,19543,12,4.89746614274072,4.21970284681883,8.712322002233156,0.75,12,"{""gap_hi_well"": ""3a824aa7"", ""gap_hi_mean_abs_gap"": 9.277881024714047}"
blend_pf85,19543,12,4.917951534607915,4.22077022370252,8.837856694529655,0.75,12,"{""gap_hi_well"": ""3a824aa7"", ""gap_hi_mean_abs_gap"": 9.277881024714047}"
blend_pf80,19543,12,4.879680632173158,4.222312851606625,8.587116930058333,0.75,12,"{""gap_hi_well"": ""3a824aa7"", ""gap_hi_mean_abs_gap"": 9.277881024714047}"
blend_pf78,19543,12,4.864624616031,4.2279745502861905,8.462256108906777,0.75,12,"{""gap_hi_well"": ""3a824aa7"", ""gap_hi_mean_abs_gap"": 9.277881024714047}"
blend_pf75,19543,12,4.852323501989353,4.236208233035723,8.337755004634666,0.75,12,"{""gap_hi_well"": ""3a824aa7"", ""gap_hi_mean_abs_gap"": 9.277881024714047}"
blend_pf90,19543,12,4.966883936855955,4.2370032120901335,9.089860277527151,0.75,12,"{""gap_hi_well"": ""3a824aa7"", ""gap_hi_mean_abs_gap"": 9.277881024714047}"
selector_gap_hi_75,19543,12,4.893163654609216,4.257823637350474,8.587116930058333,0.75,12,"{""gap_hi_well"": ""3a824aa7"", ""gap_hi_mean_abs_gap"": 9.277881024714047}"
blend_pf70,19543,12,4.8360653619041925,4.259035554325487,8.089898330232492,0.75,12,"{""gap_hi_well"": ""3a824aa7"", ""gap_hi_mean_abs_gap"": 9.277881024714047}"
pf,19543,12,5.0954378708002235,4.336578709976356,9.597260185955225,0.75,12,"{""gap_hi_well"": ""3a824aa7"", ""gap_hi_mean_abs_gap"": 9.277881024714047}"
blend_pf100,19543,12,5.0954378708002235,4.336578709976356,9.597260185955225,0.75,12,"{""gap_hi_well"": ""3a824aa7"", ""gap_hi_mean_abs_gap"": 9.277881024714047}"
artifact,19543,12,5.709500003600504,4.998381880741889,10.40970947853076,0.75,12,"{""gap_hi_well"": ""3a824aa7"", ""gap_hi_mean_abs_gap"": 9.277881024714047}"
