model,row_rmse,well_rmse_mean,well_rmse_max
base,7.8694728863026215,6.535824558724999,17.95734515473558
huber,8.307481113705563,6.851240901600712,19.64946212100983
ridge,8.526039364952657,7.381350019686134,18.976018666237003
rf_small,8.922264244390833,7.860964998094919,18.5273020777155
histgb,9.421323307156621,7.974624563434258,22.456328354128466
