method,row_rmse_mean,row_rmse_std,per_well_rmse_mean,per_well_rmse_std,folds,n_rows_mean
pseudo_oracle_lookup,0.0,0.0,0.0,0.0,3,126250.33333333333
lgbm_v13_like_base,13.901319005476418,1.0564324724924183,11.270070526758525,0.25976596351482506,3,126250.33333333333
lgbm_v8_like_base,14.018385957455115,0.8915608832976285,11.394349603909907,0.18693660070363358,3,126250.33333333333
lgbm_extra_features,14.213667136968112,0.6507603978932548,11.429966167089807,0.24709022334891342,3,126250.33333333333
anchor,15.869219880323797,0.9918561086671259,12.805262532571719,0.5099208557078978,3,126250.33333333333
alpha_0p07,16.8539922354015,0.4080691414619194,13.810416662330189,0.3557568084453327,3,126250.33333333333
physics,109.01160653973945,2.0743655409056925,95.6170637876905,0.9401739168248272,3,126250.33333333333
