variant,n_masks,n_wells,n_rows,row_rmse,well_rmse_mean,well_rmse_median,well_rmse_p75,well_rmse_max,mean_selected_score,mean_basis_abs,mean_confidence
contact_shape_plus0p25,36,12,93832,6.425992713976789,5.455185365928452,5.026491990559347,6.910053817156583,14.289590349040964,2.5392671216550884,5.7404006206491935,0.5706491927953699
base_grid_s3_b0_h0p17,36,12,93832,6.598549071619586,5.335372300757583,4.377601377430916,7.135025722904962,15.242820429514714,2.5392671216550884,5.7404006206491935,0.5706491927953699
contact_shape_minus0p25,36,12,93832,7.440745451265016,6.293582481055561,5.363444711393859,8.012302679815335,16.791428410475913,2.5392671216550884,5.7404006206491935,0.5706491927953699
