method,row_rmse_mean,row_rmse_std,per_well_rmse_mean,per_well_rmse_std,folds,n_rows_mean
pseudo_oracle_lookup,0.0,0.0,0.0,0.0,3,126250.33333333333
lgbm_v13_like_base_anchor_beta_0p8,13.78211560310937,1.052382815079208,11.102211129143958,0.3497004139151306,3,126250.33333333333
lgbm_v13_like_base_anchor_beta_0p75,13.796816389976883,1.0468577355581468,11.098827625732774,0.3691807921000591,3,126250.33333333333
lgbm_v13_like_base_anchor_beta_0p9,13.803081244142879,1.061079181000152,11.153281228854121,0.3080353003788122,3,126250.33333333333
lgbm_v13_like_base_anchor_beta_0p7,13.828245697574175,1.0407221642575502,11.110747777656178,0.38696458553862667,3,126250.33333333333
lgbm_v8_like_base_anchor_beta_0p8,13.883727880697984,0.9329054135069764,11.20996106783212,0.30054044177065625,3,126250.33333333333
lgbm_v13_like_base,13.890886919865531,1.065943912695935,11.260343794927627,0.26824294078495403,3,126250.33333333333
lgbm_v8_like_base_anchor_beta_0p75,13.894112974537324,0.9381924874059981,11.201396871941384,0.3253950148895344,3,126250.33333333333
lgbm_v8_like_base_anchor_beta_0p9,13.912010437196011,0.9203136865146825,11.270408061631727,0.24620279488433358,3,126250.33333333333
lgbm_v8_like_base_anchor_beta_0p7,13.920818818835675,0.942835392999547,11.20768497346536,0.3482043163410368,3,126250.33333333333
lgbm_v8_like_base,14.005265076645129,0.9050736976850619,11.385877707345736,0.1912892135944376,3,126250.33333333333
lgbm_extra_features_anchor_beta_0p75,14.04365129925755,0.774671423106655,11.222387326719476,0.3465827192032222,3,126250.33333333333
lgbm_extra_features_anchor_beta_0p8,14.045126048618845,0.7519636347174722,11.23513023782767,0.325958112228292,3,126250.33333333333
lgbm_extra_features_anchor_beta_0p7,14.058546613034034,0.7962193086404258,11.224828642374596,0.366461995658063,3,126250.33333333333
lgbm_extra_features_anchor_beta_0p9,14.0970875995723,0.7032725984035113,11.304639488070824,0.28485547820325186,3,126250.33333333333
lgbm_extra_features,14.213667136968112,0.6507603978932548,11.429966167089807,0.24709022334891342,3,126250.33333333333
anchor,15.869219880323797,0.9918561086671259,12.805262532571719,0.5099208557078978,3,126250.33333333333
alpha_0p07,16.8539922354015,0.4080691414619194,13.810416662330189,0.3557568084453327,3,126250.33333333333
physics,109.01160653973945,2.0743655409056925,95.6170637876905,0.9401739168248272,3,126250.33333333333
